date,city,week,rainfall_mm,temp_min_c,temp_max_c,rain_days,frost_days,stoppage_days,delay_days,source
2026-06-01,Heeze,1,27.3,9.2,23.0,3,0,3,3,open-meteo
2026-06-08,Heeze,2,16.2,8.7,22.3,1,0,1,1,open-meteo
2026-06-15,Heeze,3,3.0,11.3,25.8,0,0,0,0,open-meteo
2026-06-22,Heeze,4,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-06-29,Heeze,5,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-06,Heeze,6,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-13,Heeze,7,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-20,Heeze,8,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-27,Heeze,9,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-03,Heeze,10,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-10,Heeze,11,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-17,Heeze,12,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-24,Heeze,13,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-06-01,Brunssum,1,22.6,11.0,24.5,3,0,3,3,open-meteo
2026-06-08,Brunssum,2,17.2,8.9,21.9,0,0,0,0,open-meteo
2026-06-15,Brunssum,3,0.9,11.2,25.3,0,0,0,0,open-meteo
2026-06-22,Brunssum,4,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-06-29,Brunssum,5,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-06,Brunssum,6,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-13,Brunssum,7,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-20,Brunssum,8,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-27,Brunssum,9,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-03,Brunssum,10,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-10,Brunssum,11,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-17,Brunssum,12,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-24,Brunssum,13,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-06-01,Andijk,1,21.2,13.2,22.8,1,0,1,1,open-meteo
2026-06-08,Andijk,2,30.4,10.2,20.7,3,0,3,3,open-meteo
2026-06-15,Andijk,3,5.4,11.8,19.0,0,0,0,0,open-meteo
2026-06-22,Andijk,4,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-06-29,Andijk,5,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-06,Andijk,6,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-13,Andijk,7,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-20,Andijk,8,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-27,Andijk,9,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-03,Andijk,10,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-10,Andijk,11,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-17,Andijk,12,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-24,Andijk,13,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-06-01,Winschoten,1,26.6,11.6,24.8,3,0,3,3,open-meteo
2026-06-08,Winschoten,2,36.4,8.9,21.3,3,0,3,3,open-meteo
2026-06-15,Winschoten,3,6.6,9.5,19.7,0,0,0,0,open-meteo
2026-06-22,Winschoten,4,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-06-29,Winschoten,5,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-06,Winschoten,6,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-13,Winschoten,7,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-20,Winschoten,8,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-07-27,Winschoten,9,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-03,Winschoten,10,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-10,Winschoten,11,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-17,Winschoten,12,0.0,3.0,12.0,0,0,0,0,open-meteo
2026-08-24,Winschoten,13,0.0,3.0,12.0,0,0,0,0,open-meteo
